sample_id,split,cohort,scope,level,temperature,tokens,turns,forward_full,reverse_full,forward_top32_tail,reverse_top32_tail,base_entropy,hint_entropy,base_top1,hint_top1,base_mass_on_hint_top32,hint_top32_mass,base_target_logp,hint_target_logp,overlap_top32,top1_changed
1,valid_seen,previous10,action_body,l1,0.6,31,4,7.429284591277247e-08,1.931270678665273e-08,7.429284043347205e-08,1.931270675127876e-08,9.168956640422061e-07,4.803334082880245e-07,0.9999999346271637,0.9999999673135819,0.9999999980772695,1.0,-6.537277019355492e-08,-3.0763676394848696e-08,30.096774193548388,0.0
1,valid_seen,previous10,action_body,l1,1.0,31,4,2.231727502031647e-05,3.535089476466828e-06,2.2317232811592382e-05,3.5350141322465713e-06,0.00011762533392163599,9.867099159359368e-05,0.9999870523329704,0.9999899652696425,1.0000000019227304,1.0,-1.2949175661038137e-05,-1.0039565155246296e-05,30.096774193548388,0.0
1,valid_seen,previous10,action_body,l2,0.6,31,4,1.2013447113227048e-08,9.597366182532008e-09,1.2013447102960782e-08,9.597363985576367e-09,9.168956640422061e-07,5.167341682823947e-07,0.9999999346271637,0.9999999653908515,0.9999999980772695,1.0,-6.537277019355492e-08,-3.460913024267234e-08,29.516129032258064,0.0
1,valid_seen,previous10,action_body,l2,1.0,31,4,3.7442007984941135e-06,1.1953779986677904e-06,3.7441562856443585e-06,1.1950515549417497e-06,0.00011762533392163599,8.996709713155792e-05,0.9999870523329704,0.9999906363025788,1.0,1.0,-1.2949175661038137e-05,-9.366434573434485e-06,29.516129032258064,0.0
1,valid_seen,previous10,action_body,l3,0.6,31,4,4.183328039319823e-08,7.712789162949902e-08,4.183328400316642e-08,7.712788886327437e-08,9.168956640422061e-07,1.3205207866879886e-07,0.9999999346271637,0.9999999923090781,0.9999999980772695,1.0,-6.537277019355492e-08,-7.69092098967268e-09,28.903225806451612,0.0
1,valid_seen,previous10,action_body,l3,1.0,31,4,6.081241651554578e-06,7.204592117423256e-06,6.081221060447408e-06,7.201843742204046e-06,0.00011762533392163599,4.173003902519237e-05,0.9999870523329704,0.9999960430206791,1.0,1.0000000057681915,-1.2949175661038137e-05,-3.960631725553574e-06,28.903225806451612,0.0
1,valid_seen,previous10,all_response,l1,0.6,584,4,0.6253970869252659,0.47113793446627167,0.6253970861131903,0.4711359242502848,0.05276776574387064,0.05103010472320718,0.9776077414416287,0.9798641841705531,0.9999997028953409,0.999999999591749,-0.058361667309563166,-0.579869244261515,27.772260273972602,0.08047945205479452
1,valid_seen,previous10,all_response,l1,1.0,584,4,0.37675125114973534,0.2812313578167587,0.3767509971749801,0.2811749589072669,0.0849648385333241,0.0913234307618829,0.9647100810216714,0.9650796257878003,0.9999892615700421,0.9999999632574108,-0.06246295978889185,-0.3762285274710078,27.772260273972602,0.08047945205479452
1,valid_seen,previous10,all_response,l2,0.6,584,4,1.4223553511668743,1.0979828642777523,1.4223553587929452,1.0979650130536827,0.05276776574387064,0.058758234376256366,0.9776077414416287,0.974944621834853,0.9999945397450499,0.9999999929576704,-0.058361667309563166,-1.1546474518634184,25.888698630136986,0.1232876712328767
1,valid_seen,previous10,all_response,l2,1.0,584,4,0.851735378269391,0.6536106404262257,0.8517348948644212,0.653342529244727,0.0849648385333241,0.09908064133187046,0.9647100810216714,0.9599978340509003,0.9999163470243755,0.9999999337612766,-0.06246295978889185,-0.7241559142172012,25.888698630136986,0.1232876712328767
1,valid_seen,previous10,all_response,l3,0.6,584,4,1.246932300518659,0.9766317697283416,1.2469322977936859,0.9419681065261631,0.05276776574387064,0.050901170358917176,0.9776077414416287,0.979299343203845,0.9982843179049306,0.9999999988773097,-0.058361667309563166,-1.0776457137856814,26.13013698630137,0.125
1,valid_seen,previous10,all_response,l3,1.0,584,4,0.7344595221323859,0.581883984718956,0.7344591576415006,0.5615718281780057,0.0849648385333241,0.09100425449486323,0.9647100810216714,0.9643945318889128,0.9982422594928297,0.9999999442737396,-0.06246295978889185,-0.674727038343478,26.13013698630137,0.125
1,valid_seen,previous10,reasoning_body,l1,0.6,493,4,0.7355375378970014,0.5472626412337982,0.7355375369350299,0.5472602599637464,0.05806195562765222,0.05925038274982382,0.976171546122607,0.9764225524047325,0.999999648779933,0.9999999991536865,-0.0647566851913374,-0.678171251567487,27.50912778904665,0.09127789046653144
1,valid_seen,previous10,reasoning_body,l1,1.0,493,4,0.4418703134733995,0.32799745176817435,0.44187001293633615,0.32793064276152006,0.09555344799161286,0.10474140060932656,0.9612558464128638,0.9596658114487453,0.9999872803929853,0.9999999576843293,-0.06945792561939282,-0.43950969058251377,27.50912778904665,0.09127789046653144
1,valid_seen,previous10,reasoning_body,l2,0.6,493,4,1.6798880077803402,1.2919062179738496,1.679888016814063,1.2918850716962518,0.05806195562765222,0.06818752047113684,0.976171546122607,0.9706512944693497,0.9999935325937871,0.9999999918995716,-0.0647566851913374,-1.3615223231976628,25.320486815415823,0.14198782961460446
1,valid_seen,previous10,reasoning_body,l2,1.0,493,4,1.0050993745925454,0.7701678969007245,1.0050988021982172,0.7698502970469461,0.09555344799161286,0.11366426667131337,0.9612558464128638,0.9537757207728302,0.9999009067340023,0.999999921897362,-0.06945792561939282,-0.8530370558777183,25.320486815415823,0.14198782961460446
1,valid_seen,previous10,reasoning_body,l3,0.6,493,4,1.4650845803001475,1.1454496339626339,1.4650845770721872,1.1043876069645169,0.05806195562765222,0.05834299418084104,0.976171546122607,0.976403106540502,0.9979676308602583,0.9999999984282751,-0.0647566851913374,-1.2686533322269407,25.683569979716026,0.1440162271805274
1,valid_seen,previous10,reasoning_body,l3,1.0,493,4,0.8623843125721125,0.6833308085194314,0.8623838804938325,0.659269349873066,0.09555344799161286,0.10424316345865658,0.9612558464128638,0.9592966905834709,0.9979178086471032,0.9999999365264939,-0.06945792561939282,-0.7934352399492087,25.683569979716026,0.1440162271805274
1,valid_seen,previous10,reasoning_close_tag,l1,0.6,16,4,0.02365414123441437,0.0035166762583691592,0.02365414123441437,0.0035166762583407375,0.000310555793043306,0.014047171106495858,0.9999640472233295,0.9965943656861782,0.9999999813735485,1.0,-3.5961833740216775e-05,-0.0034911901142002932,27.9375,0.0
1,valid_seen,previous10,reasoning_close_tag,l1,1.0,16,4,0.04313804562993421,0.011930943946610779,0.04313804143814664,0.011930943648384304,0.00484232069166024,0.03837051710782317,0.9991814568638802,0.9883301518857479,1.000000026077032,1.0000000037252903,-0.0008224174780826488,-0.012459505467396603,27.9375,0.0
1,valid_seen,previous10,reasoning_close_tag,l2,0.6,16,4,0.022439185973707983,0.0034633110461381087,0.022439185973711535,0.0034633110461310033,0.000310555793043306,0.013154320891405696,0.9999640472233295,0.9967337548732758,0.9999999813735485,0.9999999925494194,-3.5961833740216775e-05,-0.003351545218599483,27.625,0.0
1,valid_seen,previous10,reasoning_close_tag,l2,1.0,16,4,0.03796209968934978,0.011806663902919526,0.03796209460060295,0.01180666146413439,0.00484232069166024,0.03361423510438161,0.9991814568638802,0.989461537450552,1.000000026077032,0.9999999925494194,-0.0008224174780826488,-0.01130566072041539,27.625,0.0
1,valid_seen,previous10,reasoning_close_tag,l3,0.6,16,4,0.2274528424089844,0.031933950556797104,0.2274528424089844,0.03193395055679,0.000310555793043306,0.04251554888004859,0.9999640472233295,0.975105419754982,0.9999999813735485,1.0,-3.5961833740216775e-05,-0.03170996862714581,27.6875,0.0
