step,step_seconds,rollout_seconds,hint_phase_seconds,teacher_forward_including_hint_seconds,old_log_prob_seconds,actor_update_seconds,checkpoint_seconds,hint_requests,hint_retried_requests,hint_single_request_max_seconds,hint_single_request_median_seconds,train_success_rate,response_tokens_mean,response_tokens_max,response_clip_ratio
1,557.3501453753561,470.17666440457106,37.27962695620954,45.68116539530456,5.394249390810728,18.5129461158067,15.291046135127544,472,0,13.096629563719034,4.241970996372402,0.125,219.5586700439453,440.0,0.0
2,547.9670284297317,475.5900542810559,40.57773465104401,48.49051121622324,4.676443973556161,17.311059299856424,0,466,0,19.03395144082606,4.16861795540899,0.25,217.12930297851562,407.0,0.0
3,836.797129355371,591.4302821848541,215.63080487400293,223.03614144399762,4.529991926625371,16.00602118112147,0,439,1,193.1898919120431,3.951118353754282,0.25,225.4382781982422,4096.0,0.0015432098880410194
