run,step,response_length/mean,response_length/clip_ratio,actor/sdl_loss,actor/grad_norm,episode/success_rate
adopt_fast_20260910,1,222.89279174804688,0.00032051283051259816,0.7473426386713982,45.525,0.0625
adopt_fast_20260910,2,205.625,0.0003462603781372309,0.4765069911499386,32.19836956521739,0.1796875
adopt_fast_20260910,3,192.92391967773438,0.00018115942657459527,0.29073057317344303,14.723011363636363,0.21875
adopt_fast_20260910,4,175.23483276367188,0.00036549707874655724,0.21823630890470336,9.426136363636363,0.2421875
adopt_fast_20260910,5,156.8117218017578,0.00044883304508402944,0.19405911415297952,8.124131944444445,0.46875
l1_online_full_fast_20260911,6,146.37100219726562,0.0,0.19196384064853192,7.52109375,0.3359375
l1_online_full_fast_20260911,7,137.116455078125,0.00025150904548354447,0.1681369424186414,6.8798828125,0.5390625
l1_online_full_fast_20260911,8,128.58291625976562,0.0007194244535639882,0.1846095350338146,7.380681818181818,0.2265625
l1_online_full_fast_20260911,9,113.38613891601562,0.0014438943471759558,0.15196717833168805,6.2105263157894735,0.3984375
l1_online_full_fast_20260911,10,101.55814361572266,0.0016207455191761255,0.15844131205230952,5.8640625,0.328125
l1_online_full_fast_20260911,11,93.1086196899414,0.0006067961221560836,0.1365932031883858,6.69375,0.3984375
l1_online_full_fast_20260911,12,89.35469818115234,0.0001990445889532566,0.14628150896169245,7.73671875,0.390625
l1_online_full_fast_20260911,13,81.75891876220703,0.00016512550064362586,0.11651673449280982,6.608072916666667,0.140625
l1_online_full_fast_20260911,14,76.01895904541016,0.0,0.11661272948946465,5.07421875,0.28125
l1_online_full_fast_20260911,15,74.20130157470703,0.0,0.1260853874264285,4.58359375,0.3359375
l1_full_diskfix_20260911,6,147.03546142578125,0.0,0.19799866629764437,7.54375,0.34375
l1_full_diskfix_20260911,7,135.88934326171875,0.0002561475266702473,0.1670882008911576,6.79541015625,0.546875
l1_full_diskfix_20260911,8,129.55532836914062,0.0007256894023157656,0.18482850113121624,7.087357954545454,0.2578125
l1_full_diskfix_20260911,9,113.88780212402344,0.0012195121962577105,0.15186612106626854,5.998046875,0.390625
l1_full_diskfix_20260911,10,103.00318145751953,0.0019872814882546663,0.1574634343967773,5.9640625,0.3046875
l1_full_diskfix_20260911,11,92.62437438964844,0.0,0.1498111189637137,6.587171052631579,0.40625
l1_full_diskfix_20260911,12,90.73927307128906,0.00020627063349820673,0.1441621342183728,8.123355263157896,0.4140625
l1_full_diskfix_20260911,13,82.1075668334961,0.0003289473825134337,0.11849009700623962,6.873697916666667,0.1796875
l1_full_diskfix_20260911,14,76.85375213623047,0.0,0.11708959347932883,4.741508152173913,0.25
l1_full_diskfix_20260911,15,75.0915756225586,0.0,0.12454575882293284,4.65078125,0.3125
l1_full_diskfix_20260911,16,70.53583526611328,0.0,0.13438218094044083,4.618885869565218,0.1953125
l1_full_diskfix_20260911,17,69.97357177734375,0.0,0.12954028677830304,4.084872159090909,0.28125
l1_full_diskfix_20260911,18,68.62335205078125,0.0,0.12363554137807928,4.587171052631579,0.4140625
l1_full_diskfix_20260911,19,68.14982604980469,0.0,0.12250077143392485,4.694548233695652,0.21875
l1_full_diskfix_20260911,20,70.65261840820312,0.00020764119108207524,0.11203336705894847,3.9539473684210527,0.421875
l1_full_diskfix_20260911,21,70.81853485107422,0.00017482518160250038,0.10913713275880108,4.572690217391305,0.2109375
l1_full_diskfix_20260911,22,75.32569122314453,0.0005733944708481431,0.09741962388423937,4.478794642857143,0.2421875
l1_full_diskfix_20260911,23,84.58782196044922,0.0020463846158236265,0.09006414053273266,3.1970108695652173,0.15625
