step,turns,empty_reasoning,other_format_errors,empty_ratio,format_invalid_ratio,reasoning_body_tokens,body_tokens_per_original_turn,whole_response_tokens_mean,supervised_token_ratio,update_skipped,train_episode_success_rate,step_seconds,rollout_seconds,teacher_forward_seconds,update_seconds,hint_wait_seconds
1,6226,0,3,0.0,0.0004818503051718599,1259648,202.3205910697077,222.73330688476562,0.907478996076578,0,0.0546875,524.5088883452117,247.87407050468028,69.05112123303115,143.3939543478191,0.17326027527451515
2,5574,0,4,0.0,0.0007176175098672408,1008761,180.9761392177969,202.18759155273438,0.8947691941976126,0,0.2265625,481.8436061218381,242.3593654166907,60.9024823307991,134.50972696393728,0.1554654762148857
3,5697,0,2,0.0,0.00035106196243637,971407,170.51202387221343,191.42706298828125,0.8896483194431725,0,0.203125,447.03050172515213,223.22974593564868,57.73846089467406,123.59059900417924,0.16779972054064274
4,5476,0,4,0.0,0.0007304601899196494,833078,152.1325785244704,173.3934326171875,0.8767433245351486,0,0.2421875,402.48896148614585,192.63018199242651,52.566543804481626,118.21804925240576,0.15306933224201202
5,4644,0,4,0.0,0.0008613264427217916,598552,128.88716623600345,150.65145874023438,0.8547958664892007,0,0.4296875,388.6123388968408,187.61251009069383,45.88170397467911,103.86617965810001,0.13654691725969315
6,5152,0,0,0.0,0.0,598899,116.24592391304348,137.54696655273438,0.8451361900649411,0,0.3046875,372.51308779604733,166.89670809544623,49.43367226794362,119.55456727184355,0.14047779701650143
7,3889,0,2,0.0,0.0005142710208279763,396115,101.85523270763693,123.89656066894531,0.8206218756538727,0,0.5546875,283.20229737088084,151.1790561210364,34.8174305241555,71.44134782627225,0.11678260564804077
8,5704,0,8,0.0,0.001402524544179523,527302,92.44424964936887,115.05364990234375,0.803488219715786,0,0.203125,420.4506624788046,204.70331207104027,54.096368627622724,121.37975730374455,0.16986408457159996
9,5083,0,10,0.0,0.0019673421207948064,393298,77.37517214243557,100.80935668945312,0.7667853341079861,0,0.390625,380.17593097127974,200.8853206243366,45.14215780980885,100.15363289788365,0.14076030813157558
10,5000,0,11,0.0,0.0022,332499,66.4998,89.7052001953125,0.7413148847558447,0,0.328125,405.93512695655227,201.06042967550457,45.217850459739566,108.97831527329981,0.14245494827628136
11,5005,0,2,0.0,0.0003996003996003996,298607,59.661738261738265,81.0225601196289,0.7359184347436052,0,0.3515625,330.89394247345626,148.89008116349578,46.52445003204048,100.65529121644795,0.15232896618545055
12,4677,0,5,0.0,0.0010690613641223007,265595,56.78747060081248,78.5241470336914,0.722721249112228,0,0.46875,327.5427932869643,167.16213692352176,40.79540580697358,88.75944030843675,0.15131291933357716
13,5677,0,1,0.0,0.00017614937466971993,292165,51.46468205037872,72.63433074951172,0.7081706309097034,0,0.25,351.5472254548222,146.45187095180154,52.772202614694834,113.35639997944236,1.3625587988644838
14,5433,0,1,0.0,0.00018406037180195104,262184,48.25768452052273,68.98603057861328,0.6986282388804212,0,0.3046875,340.23169787600636,139.83206826075912,49.30026201531291,113.35228887572885,0.1542165521532297
15,4634,0,0,0.0,0.0,219059,47.27211911955114,68.16529846191406,0.6925956488885094,0,0.4296875,290.905115429312,115.66290907375515,39.59518717229366,88.03750445879996,0.13585213012993336
16,5888,0,1,0.0,0.00016983695652173913,259758,44.116508152173914,64.74066162109375,0.6814343390356067,0,0.1484375,333.24949217401445,114.9911597315222,52.02518283389509,126.61911085993052,0.16940386965870857
17,5439,0,2,0.0,0.00036771465342893915,225527,41.46479132193418,62.4966926574707,0.6633498244024684,0,0.2734375,305.0313397850841,115.58450747653842,47.297548323869705,106.20512685365975,0.156880559399724
18,4870,0,2,0.0,0.0004106776180698152,195000,40.04106776180698,60.62089538574219,0.6602447984560429,0,0.4140625,270.4193750731647,104.51888715289533,43.47951874695718,91.53136447444558,3.006631350144744
19,4669,1395,7,0.2987791818376526,0.3002784322124652,122968,26.337117155707862,47.3897705078125,0.5553984779024864,0,0.484375,265.6684532277286,107.5257439725101,38.92048565298319,89.50116865895689,0.13614719733595848
